,lemma,freq,both_cooc,both_pmi,e_cooc,e_pmi,neither_cooc,neither_pmi,redup_cooc,redup_pmi
257,kur9,321,0,,35,-0.507873601932,285,0.28213672737,1,-4.87196100011
282,mul,46,2,0.881961994582,5,-0.512360992924,25,-0.425957660842,14,1.73826145301
353,sumun,29,0,,3,-0.583745626161,25,0.239623300088,1,-1.40351250812
233,kac4,49,4,1.79081410652,5,-0.603508880983,39,0.124440480188,1,-2.16024135711
402,ur3,40,3,1.66855835647,4,-0.632655226642,26,-0.167740271306,7,0.93989531418
327,sig9,142,6,0.840739331856,14,-0.653119329202,114,0.136891000101,8,-0.695278632495
155,dug3,479,8,-0.498357895097,44,-0.755177358854,406,0.21520217689,21,-1.05709593595
226,il2,403,7,-0.441757155831,37,-0.755909794654,320,0.1210401718,39,0.0852346773442
369,ten,57,0,,5,-0.821689051032,21,-0.986824485945,31,2.57577478323
154,dub2,82,5,1.36990004091,7,-0.860924214315,56,-0.0964489771198,14,0.904271404449
249,kuc2,106,0,,9,-0.868722584876,96,0.310790151599,1,-3.27345196755
117,cub,220,2,-1.37583576289,18,-0.922161843837,190,0.242244000247,10,-1.00496313163
193,gur4,50,8,2.76166776086,4,-0.95458332153,22,-0.730676465697,16,1.81061229724
186,gub,775,4,-2.19252854952,62,-0.95458332153,688,0.281960359981,21,-1.75126659037
146,dirig,167,3,-0.393217841114,13,-0.993991706088,149,0.289212333429,2,-2.92923580546
289,nu2,195,5,0.120121731777,15,-1.0111668499,160,0.168345886578,15,-0.245971231131
377,tuc,208,3,-0.709953266781,16,-1.0111668499,188,0.307897238977,1,-4.24597123113
67,aj2,302,0,,23,-1.02556991502,279,0.339464677945,0,
275,mah,559,0,,42,-1.04511418182,517,0.341064102912,0,
415,zig3,325,0,,24,-1.07006053895,298,0.328620717987,3,-3.30486492018
235,kal,97,1,-1.19438889155,7,-1.10328505188,52,-0.445725018605,37,2.06400901045
386,tur5,28,2,1.59816902858,2,-1.11808205381,21,0.0387106061618,3,0.232076065673
354,sumur,29,0,,2,-1.16870812688,27,0.350654612477,0,
236,kalag,148,0,,10,-1.1982524025,137,0.342326822772,1,-3.75498487862
409,us2,273,0,,18,-1.23355927123,253,0.343984539215,2,-3.63828865391
363,tah,107,0,,7,-1.2448391961,98,0.326990963155,2,-2.28699849939
326,sig7,94,3,0.435897599683,6,-1.28035348271,76,0.147086767207,9,0.0698046367746
305,sa2,204,4,-0.266901391332,13,-1.28271275559,173,0.215950991106,14,-0.410601932904
135,dar,48,11,3.27999306856,3,-1.31072713175,28,-0.323859473223,6,0.45446848701
168,galam,64,0,,4,-1.31072713175,54,0.208635607604,6,0.0394309877311
162,duru5,33,0,,2,-1.35512125111,31,0.363550296469,0,
167,gal,1112,83,1.66162230926,67,-1.36357901402,721,-0.171337518042,241,1.24841675052
380,tuku,321,5,-0.598977441596,19,-1.38922910543,257,0.132943167512,40,0.449967094775
152,du8,271,2,-1.67662509071,16,-1.39287617311,206,0.05809959127,47,0.926908297334
400,ur11-ru,34,0,,2,-1.39818997301,32,0.36628526419,0,
256,kur2,103,1,-1.28097657654,6,-1.41226515822,90,0.259100674587,6,-0.647069539452
231,jen,655,0,,38,-1.41815071474,616,0.365183549711,1,-5.90088260941
403,ur4,52,5,2.02701232739,3,-1.42620434917,17,-1.15922877145,27,2.50891627103
180,gig2,107,0,,6,-1.46723161743,101,0.370492601791,0,
229,jar,1051,5,-2.31009490844,58,-1.49029309059,921,0.26325849757,67,-0.516989276495
360,tab,56,1,-0.401830971419,3,-1.53311955309,49,0.261103027498,3,-0.767923934327
277,me,582,0,,31,-1.54140616428,551,0.374781271104,0,
300,rig7,58,0,,3,-1.58374562616,55,0.377126823838,0,
217,hul,140,0,,7,-1.63265522664,127,0.313149775268,6,-1.08985202921
243,kij2,88,19,3.19401984545,4,-1.77015875039,43,-0.579418758495,22,1.45446848701
150,du7,247,2,-1.54284328095,11,-1.7996627447,157,-0.199998377252,77,1.77288779612
195,guru3,99,0,,4,-1.94008375183,92,0.347953441418,3,-1.58992563235
331,silim,128,0,,5,-1.98879903687,123,0.39626261078,0,
158,dul,80,1,-0.916404144248,3,-2.04769272592,70,0.261103027498,6,-0.282497107156
364,taka4,107,0,,4,-2.05219411816,99,0.341637739119,4,-1.28699849939
269,lul,81,0,,3,-2.06561463392,78,0.399300321418,0,
418,zu,489,5,-1.20623860943,18,-2.07449278526,429,0.264891287988,37,-0.269768802313
397,ul,56,0,,2,-2.11808205381,47,0.200982035061,7,0.45446848701
132,dal,29,1,0.547542955511,1,-2.16870812688,20,-0.0823047947995,7,1.40384241394
407,uru16,59,0,,2,-2.19337018112,57,0.403995070244,0,
410,za,30,1,0.498633355031,1,-2.21761772736,24,0.131820010553,4,0.547577891401
157,dugud,61,0,,2,-2.24146446932,58,0.380991763005,1,-2.47626885055
279,mu2,202,10,1.06924056277,6,-2.38397611379,129,-0.193236121888,57,1.62914701842
228,jal2,674,0,,20,-2.38540381805,644,0.388060202373,10,-2.62020819928
