,char,freq,both_cooc,both_pmi,e_cooc,e_pmi,neither_cooc,neither_pmi,redup_cooc,redup_pmi
287,ur3,41,3,1.63293444674,4,-0.668279136373,27,-0.148916397014,7,0.904271404449
336,X,147,0,,14,-0.703044554534,124,0.208272070991,9,-0.575278856384
437,in,2019,28,-0.766546322635,187,-0.743257867199,1655,0.166938411804,149,-0.305788187859
363,il2,400,7,-0.430977317078,37,-0.745129955901,317,0.118230945805,39,0.0960145160974
295,kal,100,1,-1.23833223914,9,-0.784658320087,54,-0.435220582171,36,1.98053729868
564,uc,124,0,,11,-0.805491823504,102,0.171977137025,11,-0.0402962047397
223,dug3,476,8,-0.489293812669,42,-0.813227472284,405,0.220708439905,21,-1.04803185352
31,gub,688,4,-2.02074080406,59,-0.854348837095,604,0.265888090064,21,-1.57947884491
605,dur2,47,0,,4,-0.865315983432,43,0.325424008465,0,
599,kuc2,106,0,,9,-0.868722584876,96,0.310790151599,1,-3.27345196755
178,la,1267,8,-1.9016768585,105,-0.90368242323,1010,0.126686873939,144,0.317192679311
474,cub,220,2,-1.37583576289,18,-0.922161843837,190,0.242244000247,10,-1.00496313163
2,ga,2446,17,-1.76322189664,200,-0.923079630508,2069,0.212257346773,160,-0.47981210663
234,aj2,308,0,,25,-0.933657482675,283,0.331619807578,0,
380,tuc,148,3,-0.218966914269,12,-0.935217996663,132,0.28868885917,1,-3.75498487862
346,dirig,163,3,-0.358241702871,13,-0.959015567845,145,0.284929041225,2,-2.89425966722
600,DU.DU,38,0,,3,-0.973692144477,34,0.293283433247,1,-1.79345902643
165,si,305,12,0.73782101891,24,-0.978430063484,217,-0.0373660945651,52,0.902242772701
376,nu2,195,5,0.120121731777,15,-1.0111668499,160,0.168345886578,15,-0.245971231131
345,bad,52,9,2.87500923394,4,-1.0111668499,31,-0.292495302314,8,0.754028768869
273,dub2,79,5,1.42367129735,6,-1.02954537921,54,-0.095145140573,14,0.95804266089
101,tum2,173,0,,13,-1.04491564125,160,0.341047972691,0,
544,hi,27,1,0.650636448476,2,-1.06561463392,15,-0.394248801114,9,1.86950598629
466,am3,947,3,-2.89673416411,70,-1.06866473028,797,0.204963403963,77,-0.165965587764
158,mah,557,0,,40,-1.11033255421,517,0.346235058416,0,
555,ul,98,9,1.96073910797,7,-1.11808205381,63,-0.183681815175,19,1.08768615634
0,gu,70,8,2.27624093369,5,-1.11808205381,48,-0.0905724107831,9,0.495110471507
199,duru5,28,0,,2,-1.11808205381,26,0.346832901524,0,
219,tur5,28,2,1.59816902858,2,-1.11808205381,21,0.0387106061618,3,0.232076065673
344,ja2,686,1,-4.01654081553,48,-1.14782939721,618,0.303146367172,19,-1.71966876572
173,sumur,29,0,,2,-1.16870812688,27,0.350654612477,0,
300,sa2,195,3,-0.616843862389,13,-1.21761772736,165,0.212740005937,14,-0.345506904682
119,us2,273,0,,18,-1.23355927123,253,0.343984539215,2,-3.63828865391
72,sig7,91,3,0.482691811162,6,-1.23355927123,73,0.135778024122,9,0.116598848254
137,tah,107,0,,7,-1.2448391961,98,0.326990963155,2,-2.28699849939
12,gu2,47,9,3.0208601004,3,-1.28035348271,24,-0.515878245516,11,1.35931125397
52,galam,64,0,,4,-1.31072713175,54,0.208635607604,6,0.0394309877311
197,dar,48,11,3.27999306856,3,-1.31072713175,28,-0.323859473223,6,0.45446848701
419,du8,265,2,-1.64432459881,16,-1.36057568121,204,0.0763248979616,43,0.830884692261
284,ur4,50,5,2.08359585575,3,-1.36962082081,14,-1.38275316228,28,2.61796721929
415,gal,1051,75,1.59679568717,63,-1.37099416222,680,-0.174407912384,233,1.2811076777
354,ur11,34,0,,2,-1.39818997301,32,0.36628526419,0,
611,da13,34,0,,2,-1.39818997301,31,0.320481574577,1,-1.63299435424
148,kur2,102,1,-1.26690139133,6,-1.39818997301,89,0.257056194436,6,-0.63299435424
213,gig2,105,0,,6,-1.4400101487,99,0.368859207854,0,
169,tuku,319,5,-0.589960568238,18,-1.45821474408,256,0.136335491676,40,0.458983968132
403,kalag,144,0,,8,-1.4806521332,135,0.360638701049,1,-3.71545651443
226,ri,365,3,-1.52126620241,20,-1.50055169063,323,0.277385806367,19,-0.809356653314
503,bi,773,1,-4.18880065329,42,-1.5127343129,623,0.14251185454,107,0.601610869486
319,zig3,227,0,,12,-1.55231311832,212,0.355120072713,3,-2.78711749956
135,tab,57,1,-0.427366063526,3,-1.5586546452,50,0.264714281051,3,-0.793459026434
269,rig7,58,0,,3,-1.58374562616,55,0.377126823838,0,
258,hul,140,0,,7,-1.63265522664,127,0.313149775268,6,-1.08985202921
236,re7,62,0,,3,-1.67996094142,59,0.382194844416,0,
150,kij2,85,18,3.16605801594,4,-1.72011806789,42,-0.563325407918,21,1.43739497365
159,a,2596,5,-3.61462262247,117,-1.78243708017,2342,0.305198797943,132,-0.843212061631
425,du7,249,2,-1.55447798143,11,-1.81129744519,157,-0.211633077736,79,1.79824730312
505,dul,69,0,,3,-1.83428908781,61,0.275960986225,5,-0.332127874881
53,sug2,71,0,,3,-1.87551175054,68,0.391463827186,0,
16,tum3,102,0,,4,-1.98315247373,98,0.396032607584,0,
476,silim,128,0,,5,-1.98879903687,123,0.39626261078,0,
168,sa,105,1,-1.30872156703,4,-2.02497264942,98,0.35421243189,2,-2.25977703066
367,lul,81,0,,3,-2.06561463392,78,0.399300321418,0,
